Title,Price,Genre,Level Of Violence,Play Level,World Style,Graphics
Rocket League,1,2,0,1,0,0
Skyrim,1,0,1,1,1,0
Player Unknown BattleGrounds,1,1,1,0,1,0
League Of Legengs,0,6,0,1,0,0
HoloPoint VR,1,1,1,1,2,2
Dota 2,0,6,0,1,0,0
Age Of Empires 3,1,5,1,1,1,0
Batman Arkham Orgins ,1,4,2,0,1,1
Bioshock Infinite ,1,0,1,0,1,1
Bioshock 2,1,0,1,0,1,1
Call Of Duty BlackOps 2,1,1,2,0,0,0
Call of Duty WW2,1,1,2,0,0,0
BorderLands,1,1,1,0,1,1
BorderLands The Pre-Sequel!,1,1,1,0,1,1
Castlevania: Lord Of Shadows 2,1,1,1,0,1,1
DragonBall-Z Xenoverse 2,1,4,1,0,1,1
Need For Speed,1,3,0,0,0,0
NBA 2K18,1,6,0,0,0,0
Madden 18,1,6,0,0,0,0
NHL 18,1,6,0,0,0,0
Fallout 3,1,0,2,0,1,0
Fallout 4,1,0,2,0,1,0
Fallout New Vegas,1,0,2,0,1,0
Grand Theft Auto 5,1,6,2,0,1,1
South Park The Fractured But The Whole,1,1,1,0,1,0
Counter Strike Global Offensive,1,1,2,1,0,0
Runescape,3,0,1,0,1,0
World Of Warcraft,3,0,1,0,1,0
Crysis 3,1,1,2,0,1,0
Fez,1,2,0,0,1,0
Super Meat Boy,1,2,0,0,1,1
Civilizations 5,1,5,1,1,1,0
Portal ,1,5,0,0,1,0
Portal 2,1,5,0,0,1,0
Tomb Raider,1,2,2,0,0,1
OutLast,1,6,2,0,1,0
Theif,1,6,1,0,1,0
RollerCoaster Tycoon,1,6,0,0,0,0
Day-Z,1,1,2,1,1,0
Grid 2,1,3,0,0,0,1
Prison Architect,1,6,1,0,1,0
Saints Row: The Third,1,1,2,0,0,0
Gird,1,3,0,0,0,0
Left 4 Dead,1,1,2,0,1,0
Castle Crashers,1,6,1,1,1,0
Just Cause 2,1,1,2,0,0,0
Doom,1,1,2,0,1,0
Dark Souls,1,0,2,0,1,0
Dead Island,1,2,2,0,1,0
Project Cars 2,1,3,0,0,0,0
Arizona SunShine,1,6,2,0,1,2
Far Cry 5,1,0,2,0,0,1
Far Cry 3,1,0,2,0,0,1
Far Cry 4,1,0,2,0,0,1
Company Of Heros,1,1,2,0,0,0
Pay Day 2,1,1,2,0,0,0
Dishonored 2,1,6,1,0,1,1
Dishonored,1,6,1,0,1,1
Shadow Of Mordor,1,0,1,0,1,1
TitanFall,1,1,1,1,1,1
TitanFall 2,1,1,1,1,1,1
Onward,1,6,0,0,0,1
H1Z1,1,1,2,1,0,0
Team Fortress 2,1,1,1,1,1,0
Age Of Mythology,1,5,1,1,1,0
Runescape: Idle Adventures,1,0,0,0,1,0
Assassin's Creed,1,0,2,0,1,0
Stardew Valley,1,6,0,0,1,0
Cities: Skylines,1,6,0,0,0,0
Assassin's Creed 4: Black Flag,1,0,2,0,1,0
American Truck Simulator,1,6,0,0,0,0
Rainbow Six Siege,1,1,2,1,0,0
Smite,1,6,1,1,1,0
Half Life 2,1,1,2,0,1,0
Minecraft,1,6,0,0,1,0
Mass Effect Two,1,1,2,0,1,0
StarCraft 2,1,5,1,1,1,0
Fortnight,1,1,1,1,1,0
The Sims,1,6,0,0,0,0
Diablo,1,0,1,0,0,0
Unreal Tourament,1,1,1,1,1,0
Sim City,1,6,0,0,0,0
The Witcher 3,1,0,2,0,1,0
Dragon Age: Inquisition,1,0,2,0,1,0
Hearthstone,1,6,0,1,0,0
Metal Gear Rising,1,1,2,0,0,0
Guild Wars 2,0,0,0,0,0,0
Crossout,0,6,1,1,0,0
War Thunder,0,1,1,1,0,0
Total War: Arena,0,0,2,0,0,0
World Of Tanks,0,0,2,1,1,1
Star Trek Online,0,0,0,0,1,0
Skyforge,0,0,0,0,1,0
Warface,0,0,1,0,1,0
Slime Rancher,0,0,0,0,1,0
Rust,0,6,1,0,1,0
Final Fantasy XV,1,1,1,0,1,0
Deep Rock Galactic,1,6,1,0,1,0
No Mans Sky,1,6,0,0,1,0
